2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
-0.0899611;7.22408;18.8112;14.3766;-0.0899611;4.69685;7.1764;17.5714;-0.0899611;2.69413;3.26633;3.0756;-0.0899611;0.786781;0.882149;1.0252;-0.0899611;0.119209;0.119209;0.119209
-0.0799608;6.17504;17.6191;13.1369;-0.0799608;4.41074;6.12736;13.8998;-0.0799608;2.74181;3.12328;3.0756;-0.0799608;0.882149;0.882149;1.0252;-0.0799608;0.119209;0.119209;0.119209
-0.0699615;5.45979;16.7608;12.3262;-0.0699615;4.22001;5.4121;11.0388;-0.0699615;2.7895;3.02792;3.12328;-0.0699615;0.929832;0.929832;1.12057;-0.0699615;0.119209;0.116229;0.119209
-0.0600395;4.93526;16.0933;11.8017;-0.0600395;4.22001;4.88758;8.89301;-0.0600395;2.83718;3.0756;3.17097;-0.0600395;0.929832;0.977516;1.16825;-0.0600395;0.119209;0.119209;0.119209
-0.0500393;4.58479;15.328;11.3702;-0.0500393;4.16517;4.47989;7.38864;-0.0500393;2.9254;3.10183;3.25918;-0.0500393;0.95129;0.989437;1.16587;-0.0500393;0.10252;0.107288;0.107288
-0.0400391;4.37975;14.3171;10.9601;-0.0400391;4.19378;4.22239;6.37774;-0.0400391;3.0303;3.18766;3.35455;-0.0400391;0.989437;1.03235;1.20878;-0.0400391;0.10252;0.112057;0.10252
-0.0300388;4.27008;13.1059;10.3975;-0.0300388;4.2367;4.0555;5.71966;-0.0300388;3.13044;3.28779;3.44515;-0.0300388;1.02282;1.07527;1.24693;-0.0300388;0.10252;0.107288;0.107288
-0.0200396;4.21762;11.6849;9.57732;-0.0200396;4.28438;3.95536;5.33342;-0.0200396;3.23057;3.3927;3.53575;-0.0200396;1.04666;1.10388;1.27077;-0.0200396;0.102818;0.112057;0.10252
-0.0100393;4.21762;10.2258;8.6761;-0.0100393;4.33207;3.89814;5.11885;-0.0100393;3.3164;3.50237;3.62158;-0.0100393;1.0705;1.13249;1.28984;-0.0100393;0.10252;0.116825;0.10252
-0.0000391006;4.25555;8.88422;7.78559;-0.0000391006;4.37762;3.87694;5.02278;-0.0000391006;3.39438;3.6061;3.69526;-0.0000391006;1.08028;1.1499;1.30344;-0.0000391006;0.103712;0.114202;0.101328
0.00996113;4.33375;7.71549;7.00214;0.00996113;4.41815;3.87837;5.00133;0.00996113;3.46257;3.70242;3.75725;0.00996113;1.08362;1.15991;1.30439;0.00996113;0.104666;0.11754;0.101328
0.0199614;4.44915;6.80091;6.35507;0.0199614;4.46155;3.88743;5.02326;0.0199614;3.5217;3.78968;3.81257;0.0199614;1.0798;1.1623;1.29867;0.0199614;0.106096;0.119925;0.102282
0.0299606;4.59888;6.15385;5.87919;0.0299606;4.50351;3.90221;5.06427;0.0299606;3.5689;3.86549;3.85357;0.0299606;1.06884;1.15753;1.28437;0.0299606;0.107527;0.123739;0.102758
0.0399609;4.79438;5.75759;5.58497;0.0399609;4.55882;3.92558;5.1172;0.0399609;3.61039;3.93607;3.886;0.0399609;1.0531;1.14704;1.26577;0.0399609;0.108957;0.127077;0.103712
0.0499611;5.02898;5.52728;5.4157;0.0499611;4.62224;3.94568;5.15821;0.0499611;3.6375;3.98769;3.90205;0.0499611;1.03162;1.12904;1.23842;0.0499611;0.11046;0.129343;0.10407
0.0599613;5.31842;5.41903;5.34417;0.0599613;4.71093;3.97281;5.19683;0.0599613;3.66076;4.03542;3.91459;0.0599613;1.00572;1.10701;1.20819;0.0599613;0.112176;0.132108;0.105644
0.0699615;5.66747;5.38184;5.33845;0.0699615;4.83253;4.00037;5.23211;0.0699615;3.67898;4.07566;3.91916;0.0699615;0.978354;1.08097;1.17529;0.0699615;0.114084;0.136066;0.107742
0.0798836;6.07231;5.39472;5.37326;0.0798836;4.98368;4.02722;5.25691;0.0798836;3.6879;4.10117;3.91306;0.0798836;0.947932;1.05126;1.14024;0.0798836;0.117326;0.140882;0.109935
0.0898829;6.54581;5.44574;5.44955;0.0898829;5.18157;4.05478;5.28266;0.0898829;3.69333;4.11982;3.90152;0.0898829;0.917557;1.02113;1.10553;0.0898829;0.120855;0.146175;0.113035
0.0998831;7.10705;5.5454;5.56972;0.0998831;5.43334;4.09645;5.31795;0.0998831;3.69987;4.13531;3.88812;0.0998831;0.887993;0.991134;1.0722;0.0998831;0.125194;0.153184;0.117374
0.109883;7.73695;5.69084;5.72469;0.109883;5.73375;4.13946;5.358;0.109883;3.70106;4.14046;3.86714;0.109883;0.859335;0.961141;1.04177;0.109883;0.130535;0.161529;0.136972
0.119884;8.46318;5.90637;5.93545;0.119884;6.09281;4.19769;5.41856;0.119884;3.70649;4.14156;3.8464;0.119884;0.833491;0.93458;1.01617;0.119884;0.137735;0.172782;0.126338
0.129884;9.27666;6.19676;6.21107;0.129884;6.49955;4.26892;5.51106;0.129884;3.71012;4.13832;3.82093;0.129884;0.809219;0.908926;0.994996;0.129884;0.146223;0.186563;0.136447
0.139883;10.1636;6.56679;6.54628;0.139883;6.94063;4.35342;5.6298;0.139883;3.71217;4.12745;3.78889;0.139883;0.787333;0.886658;0.978068;0.139883;0.156188;0.203968;0.147367
0.149883;11.1521;7.03552;6.9845;0.149883;7.4189;4.47163;5.80528;0.149883;3.71708;4.11958;3.75875;0.149883;0.768497;0.867203;0.967196;0.149883;0.167776;0.224615;0.156188
0.159883;12.2202;7.6125;7.52094;0.159883;7.91052;4.62364;6.03321;0.159883;3.71689;4.10589;3.72356;0.159883;0.75095;0.850228;0.95971;0.159883;0.180555;0.249077;0.170255
0.169884;13.3527;8.30201;8.15037;0.169884;8.39165;4.81009;6.31788;0.169884;3.71498;4.09302;3.68642;0.169884;0.734833;0.836257;0.956563;0.169884;0.194336;0.274588;0.182653
0.179884;14.5581;9.11358;8.90854;0.179884;8.8518;5.0533;6.6674;0.179884;3.70745;4.07967;3.64532;0.179884;0.718763;0.823525;0.95766;0.179884;0.208784;0.302197;0.195862
0.189883;15.7884;10.0592;9.78116;0.189883;9.2552;5.34131;7.07272;0.189883;3.69257;4.06393;3.59801;0.189883;0.698498;0.811413;0.959662;0.189883;0.223757;0.32971;0.209213
0.199883;17.0215;11.1454;10.793;0.199883;9.58709;5.6751;7.51522;0.199883;3.66701;4.04839;3.54284;0.199883;0.684669;0.801447;0.967149;0.199883;0.240446;0.358941;0.218321
0.209884;18.2055;12.3733;11.9198;0.209884;9.81931;6.05323;7.98395;0.209884;3.62982;4.02984;3.46488;0.209884;0.668409;0.792959;0.975923;0.209884;0.255419;0.390746;0.231911
0.219806;19.3184;13.6998;13.1605;0.219806;9.95187;6.47857;8.44887;0.219806;3.58342;4.00843;3.39369;0.219806;0.654581;0.785807;0.984935;0.219806;0.272394;0.425459;0.247742
0.229806;20.325;15.1642;14.5147;0.229806;9.98906;6.94492;8.89185;0.229806;3.52959;3.98869;3.3172;0.229806;0.642326;0.774696;0.990275;0.229806;0.291611;0.465419;0.257708
0.239805;21.1633;16.7115;15.9438;0.239805;9.92517;7.42796;9.29287;0.239805;3.4666;3.96504;3.23342;0.239805;0.624921;0.762203;0.997619;0.239805;0.313164;0.511291;0.275494
