2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
-0.0899611;2.83718;3.31402;3.79086;-0.0899611;3.40939;3.45707;5.07832;-0.0899611;2.64645;5.84126;3.45707;-0.0899611;1.88351;2.31266;2.5034;-0.0899611;0.405312;0.452995;0.452995
-0.0799608;3.3617;3.98159;4.55379;-0.0799608;4.02927;3.98159;5.98431;-0.0799608;3.0756;6.46114;3.93391;-0.0799608;2.12193;2.69413;2.83718;-0.0799608;0.452995;0.500679;0.500679
-0.0699615;3.88622;4.60148;5.22137;-0.0699615;4.69685;4.69685;6.8903;-0.0699615;3.55244;6.98566;4.50611;-0.0699615;2.45571;3.02792;3.21865;-0.0699615;0.452995;0.548363;0.548363
-0.0600395;4.41074;5.31673;5.98431;-0.0600395;5.45979;5.4121;7.84397;-0.0600395;4.02927;7.31945;5.17368;-0.0600395;2.74181;3.3617;3.69549;-0.0600395;0.500679;0.596046;0.596046
-0.0500393;4.98056;5.95808;6.69723;-0.0500393;6.13928;6.08683;8.78577;-0.0500393;4.59909;7.52692;5.81026;-0.0500393;2.96354;3.62635;4.04596;-0.0500393;0.522137;0.636578;0.588894
-0.0400391;5.55754;6.65431;7.4554;-0.0400391;6.90703;6.86889;9.76806;-0.0400391;5.21421;7.52215;6.52556;-0.0400391;3.18289;3.85523;4.42743;-0.0400391;0.550747;0.679493;0.631809
-0.0300388;6.18696;7.30758;8.19926;-0.0300388;7.68905;7.69382;10.717;-0.0300388;5.82933;7.32665;7.26943;-0.0300388;3.33548;4.00782;4.72784;-0.0300388;0.579357;0.708103;0.665188
-0.0200396;6.68769;8.00853;8.89544;-0.0200396;8.46152;8.50444;11.5753;-0.0200396;6.42543;6.97856;7.91793;-0.0200396;3.42131;4.08888;4.92811;-0.0200396;0.603199;0.736713;0.68903
-0.0100393;7.21698;8.59981;9.49149;-0.0100393;9.13863;9.31029;12.2524;-0.0100393;6.94041;6.56848;8.42814;-0.0100393;3.45945;4.09842;5.02348;-0.0100393;0.627041;0.755787;0.712872
-0.0000391006;7.63777;9.05922;9.94567;-0.0000391006;9.71011;10.0854;12.6412;-0.0000391006;7.29111;6.16577;8.67871;-0.0000391006;3.44635;4.06386;5.03041;-0.0000391006;0.648742;0.770812;0.729327
0.00996113;7.91147;9.24901;10.1779;0.00996113;9.91706;10.6805;12.6365;0.00996113;7.4127;5.81434;8.67203;0.00996113;3.40487;4.00425;4.97462;0.00996113;0.659232;0.780349;0.742679
0.0199614;8.00398;9.29574;10.1583;0.0199614;9.87796;11.0114;12.1944;0.0199614;7.28252;5.54111;8.38259;0.0199614;3.34288;3.92701;4.87878;0.0199614;0.665908;0.785594;0.750785
0.0299606;7.80275;9.17462;9.93136;0.0299606;9.49697;10.9542;11.4263;0.0299606;6.9516;5.36038;7.89431;0.0299606;3.27326;3.84356;4.76195;0.0299606;0.668292;0.779395;0.752215
0.0399609;7.56243;8.91331;9.57946;0.0399609;8.90378;10.5451;10.4893;0.0399609;6.52339;5.27408;7.34022;0.0399609;3.2046;3.76727;4.64608;0.0399609;0.664954;0.770812;0.748878
0.0499611;7.32973;8.54567;9.22564;0.0499611;8.19233;9.84792;9.55276;0.0499611;6.08709;5.26645;6.77993;0.0499611;3.13605;3.68728;4.5283;0.0499611;0.65625;0.758627;0.739124
0.0599613;7.04697;8.24812;8.94335;0.0599613;7.54526;9.00963;8.74451;0.0599613;5.69227;5.33273;6.31645;0.0599613;3.07721;3.61942;4.42151;0.0599613;0.645807;0.740984;0.726536
0.0699615;6.95732;8.10841;8.8313;0.0699615;7.02503;8.20378;8.15848;0.0699615;5.4095;5.46433;5.97551;0.0699615;3.02995;3.56172;4.32896;0.0699615;0.63298;0.722054;0.709894
0.0798836;6.93253;8.21427;8.8785;0.0798836;6.68457;7.5095;7.79512;0.0798836;5.23784;5.64554;5.76046;0.0798836;2.99114;3.51142;4.24656;0.0798836;0.619199;0.700739;0.690296
0.0898829;7.12564;8.33729;9.11692;0.0898829;6.51147;7.05841;7.66161;0.0898829;5.18395;5.87394;5.67319;0.0898829;2.9652;3.47284;4.17732;0.0898829;0.603178;0.678422;0.669744
0.0998831;7.48756;8.69254;9.53321;0.0998831;6.51863;6.81522;7.73504;0.0998831;5.22639;6.15098;5.7061;0.0998831;2.95356;3.44833;4.12459;0.0998831;0.586393;0.65625;0.647476
0.109883;7.87189;9.2223;10.1011;0.109883;6.67551;6.74608;7.983;0.109883;5.36801;6.46284;5.8315;0.109883;2.95318;3.43174;4.07743;0.109883;0.569417;0.636079;0.626352
0.119884;8.42932;9.90037;10.825;0.119884;6.97401;6.88341;8.38068;0.119884;5.59833;6.81665;6.05276;0.119884;2.96611;3.42883;4.04486;0.119884;0.554778;0.621345;0.606468
0.129884;9.10643;10.6814;11.6966;0.129884;7.39315;7.16713;8.92952;0.129884;5.90255;7.20003;6.3565;0.129884;2.99176;3.43765;4.02316;0.129884;0.545527;0.611618;0.590732
0.139883;9.91372;11.6384;12.7085;0.139883;7.91195;7.57721;9.60187;0.139883;6.27782;7.60439;6.73368;0.139883;3.0269;3.45367;4.01234;0.139883;0.540378;0.61033;0.575807
