2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
-0.0899611;37.3125;41.5564;42.367;-0.0899611;21.1;22.4352;20.051;-0.0899611;11.1818;12.66;11.1341;-0.0899611;2.98023;2.93255;3.0756;-0.0899611;0.596046;0.596046;0.64373
-0.0799608;33.5455;37.4079;38.1708;-0.0799608;18.8589;20.051;18.0006;-0.0799608;9.94205;11.3249;9.94205;-0.0799608;2.69413;2.59876;2.74181;-0.0799608;0.500679;0.548363;0.548363
-0.0699615;30.9706;34.5469;35.3098;-0.0699615;17.3807;18.4774;16.6655;-0.0699615;9.17912;10.4666;9.17912;-0.0699615;2.55108;2.40803;2.55108;-0.0699615;0.500679;0.452995;0.500679
-0.0600395;29.0632;32.4011;33.164;-0.0600395;16.3317;17.3807;15.6641;-0.0600395;8.60691;9.84669;8.60691;-0.0600395;2.45571;2.31266;2.40803;-0.0600395;0.452995;0.405312;0.500679
-0.0500393;27.5637;30.7299;31.5739;-0.0500393;15.5235;16.5487;14.9465;-0.0500393;8.2088;9.45334;8.25171;-0.0500393;2.35796;2.1863;2.31028;-0.0500393;0.412464;0.417233;0.474453
-0.0400391;26.4145;29.4567;30.3961;-0.0400391;14.9751;15.9717;14.4172;-0.0400391;7.94177;9.18155;8.01806;-0.0400391;2.34842;2.15769;2.28167;-0.0400391;0.402927;0.402927;0.445843
-0.0300388;25.5514;28.5078;29.5664;-0.0300388;14.6127;15.5902;14.0596;-0.0300388;7.77488;9.04803;7.89409;-0.0300388;2.37226;2.16246;2.28643;-0.0300388;0.398159;0.398159;0.450611
-0.0200396;24.9268;27.8259;29.0419;-0.0200396;14.4125;15.3804;13.8546;-0.0200396;7.73196;9.01942;7.86548;-0.0200396;2.42472;2.2006;2.33412;-0.0200396;0.393391;0.398159;0.455379
-0.0100393;24.5548;27.4206;28.813;-0.0100393;14.3791;15.3566;13.8021;-0.0100393;7.7415;9.10525;7.94177;-0.0100393;2.50578;2.26736;2.40564;-0.0100393;0.393391;0.398159;0.455379
-0.0000391006;24.3968;27.2773;28.8829;-0.0000391006;14.5019;15.4942;13.8958;-0.0000391006;7.84042;9.30336;8.10507;-0.0000391006;2.6095;2.35678;2.50269;-0.0000391006;0.390768;0.403166;0.461817
0.00996113;24.4916;27.4104;29.25;0.00996113;14.7861;15.806;14.1399;0.00996113;8.02496;9.59901;8.3597;0.00996113;2.73062;2.46407;2.62238;0.00996113;0.392199;0.409365;0.4704
0.0199614;24.8097;27.7966;29.9;0.0199614;15.2181;16.2748;14.52;0.0199614;8.28579;9.98525;8.69349;0.0199614;2.86604;2.58757;2.75875;0.0199614;0.394583;0.416517;0.478029
0.0299606;25.3533;28.4351;30.8217;0.0299606;15.7927;16.897;15.0321;0.0299606;8.62006;10.4554;9.09832;0.0299606;3.01052;2.72156;2.90705;0.0299606;0.396967;0.42367;0.484705
0.0399609;26.1515;29.3621;32.0596;0.0399609;16.5017;17.6891;15.6925;0.0399609;9.03252;11.0157;9.57946;0.0399609;3.16311;2.86699;3.06631;0.0399609;0.400782;0.431776;0.490904
0.0499611;27.1586;30.5237;33.5425;0.0499611;17.3557;18.6051;16.4617;0.0499611;9.49458;11.626;10.1078;0.0499611;3.31496;3.01417;3.22403;0.0499611;0.403906;0.437428;0.495746
0.0599613;28.4036;31.9485;35.3016;0.0599613;18.3356;19.6603;17.3491;0.0599613;10.0096;12.2908;10.6833;0.0599613;3.46412;3.1618;3.38229;0.0599613;0.408103;0.443198;0.500276
0.0699615;29.8928;33.646;37.3463;0.0699615;19.4372;20.8481;18.3542;0.0699615;10.5713;13.0027;11.3004;0.0699615;3.60779;3.30781;3.53679;0.0699615;0.41206;0.447728;0.503518
0.0798836;31.5608;35.5324;39.5688;0.0798836;20.6159;22.1055;19.4228;0.0798836;11.1497;13.7184;11.9226;0.0798836;3.73467;3.44118;3.67483;0.0798836;0.414492;0.450685;0.503852
0.0898829;33.4324;37.6472;42.0045;0.0898829;21.8743;23.4474;20.5687;0.0898829;11.7467;14.4418;12.5511;0.0898829;3.84454;3.56316;3.79867;0.0898829;0.416495;0.452783;0.502326
0.0998831;35.5128;39.9942;44.6443;0.0998831;23.2023;24.8631;21.7794;0.0998831;12.359;15.1671;13.1791;0.0998831;3.93457;3.67059;3.90567;0.0998831;0.416876;0.452353;0.498082
0.109883;37.7196;42.4632;47.3728;0.109883;24.547;26.2817;23.0001;0.109883;12.9512;15.8499;13.7737;0.109883;3.99589;3.75499;3.98521;0.109883;0.414444;0.449492;0.489928
0.119884;40.0757;45.0935;50.2157;0.119884;25.8978;27.7146;24.2365;0.119884;13.5277;16.497;14.3331;0.119884;4.02984;3.81564;4.0399;0.119884;0.411488;0.444247;0.480582
0.129884;42.4961;47.7847;53.0602;0.129884;27.2044;29.095;25.4377;0.129884;14.0532;17.0716;14.8299;0.129884;4.02931;3.84935;4.06202;0.129884;0.406529;0.436474;0.468614
0.139883;44.8865;50.435;55.7639;0.139883;28.4017;30.3544;26.5425;0.139883;14.5043;17.5441;15.2338;0.139883;3.99078;3.84797;4.04758;0.139883;0.40095;0.425221;0.454976
0.149883;47.2721;53.0793;58.3723;0.149883;29.5032;31.5141;27.5754;0.149883;14.8914;17.9241;15.5552;0.149883;3.91969;3.81984;3.99956;0.149883;0.395562;0.411965;0.442292
0.159883;49.539;55.5779;60.7278;0.159883;30.4383;32.494;28.4647;0.159883;15.178;18.1783;15.7607;0.159883;3.81378;3.75508;3.91554;0.159883;0.390507;0.397994;0.432183
0.169884;51.6481;57.9097;62.8068;0.169884;31.1879;33.2836;29.2014;0.169884;15.3649;18.3085;15.8551;0.169884;3.68175;3.66243;3.80258;0.169884;0.389029;0.384213;0.426604
0.179884;53.5609;60.003;64.5616;0.179884;31.732;33.853;29.7641;0.179884;15.4451;18.3085;15.8284;0.179884;3.52591;3.54389;3.66177;0.179884;0.390126;0.369956;0.426842
0.189883;55.2203;61.7816;65.8777;0.189883;32.0247;34.1605;30.1083;0.189883;15.4026;18.1664;15.6744;0.189883;3.35244;3.40036;3.49845;0.189883;0.397231;0.357939;0.431277
0.199883;56.5317;63.2026;66.7598;0.199883;32.0753;34.2106;30.2495;0.199883;15.2515;17.8993;15.4079;0.199883;3.16919;3.24124;3.3224;0.199883;0.410964;0.348879;0.445916
0.209884;57.4186;64.1849;67.1175;0.209884;31.8555;33.9841;30.1532;0.209884;14.9863;17.5021;15.0259;0.209884;2.98146;3.0743;3.1361;0.209884;0.431134;0.342585;0.46766
0.219806;57.9383;64.7476;66.9792;0.219806;31.3758;33.4886;29.8265;0.219806;14.6158;16.9857;14.5424;0.219806;2.79225;2.90021;2.94517;0.219806;0.455882;0.3392;0.486209
0.229806;58.1005;64.9192;66.4308;0.229806;30.7034;32.7882;29.3201;0.229806;14.1733;16.3963;13.9964;0.229806;2.61296;2.73341;2.76159;0.229806;0.483872;0.340058;0.50595
0.239805;57.8096;64.6045;65.3675;0.239805;29.8041;31.8488;28.6049;0.239805;13.6598;15.7202;13.3851;0.239805;2.44168;2.56899;2.58211;0.239805;0.510623;0.343873;0.534703
0.249805;57.1229;63.8464;63.894;0.249805;28.7379;30.7296;27.727;0.249805;13.0938;14.9935;12.7342;0.249805;2.28165;2.41445;2.41188;0.249805;0.539567;0.349499;0.526788
0.259806;56.0786;62.7162;62.0773;0.259806;27.5525;29.4779;26.7209;0.259806;12.5058;14.2501;12.0714;0.259806;2.13493;2.27269;2.25271;0.259806;0.560548;0.354077;0.515964
0.269806;54.6863;61.2094;59.9411;0.269806;26.2626;28.1204;25.6084;0.269806;11.894;13.5;11.3991;0.269806;2.00146;2.14213;2.10956;0.269806;0.547339;0.35875;0.518538
0.279806;53.0412;59.3879;57.5855;0.279806;24.9265;26.7075;24.4192;0.279806;11.2894;12.7686;10.7396;0.279806;1.87925;2.02406;1.95869;0.279806;0.543477;0.358988;0.500419
0.289805;51.1481;57.3566;55.0916;0.289805;23.5732;25.2708;23.1846;0.289805;10.6957;12.0624;10.1021;0.289805;1.77043;1.91849;1.82422;0.289805;0.525453;0.355984;0.490262
0.299806;49.0644;55.0868;52.4547;0.299806;22.2066;23.8145;21.941;0.299806;10.1107;11.3819;9.48743;0.299806;1.67049;1.82665;1.7113;0.299806;0.526406;0.352837;0.471522
0.309806;46.8661;52.7122;49.7701;0.309806;20.8758;22.3945;20.716;0.309806;9.53988;10.7434;8.9033;0.309806;1.58184;1.73767;1.60545;0.309806;0.533511;0.353362;0.454499
0.319806;44.563;50.2278;47.095;0.319806;19.5821;21.0126;19.5063;0.319806;9.00439;10.1364;8.35017;0.319806;1.50188;1.65246;1.5126;0.319806;0.547196;0.3312;0.451734
0.329806;42.2503;47.734;44.4295;0.329806;18.3385;19.6832;18.3414;0.329806;8.50323;9.57278;7.82993;0.329806;1.43002;1.5765;1.43021;0.329806;0.575616;0.309969;0.457837
0.339806;39.9376;45.221;41.8545;0.339806;17.1469;18.4134;17.2189;0.339806;8.03259;9.04301;7.34451;0.339806;1.36235;1.49115;1.35658;0.339806;0.587966;0.308634;0.470807
0.349806;37.6822;42.7224;39.375;0.349806;16.0192;17.2051;16.1484;0.349806;7.59485;8.55711;6.88961;0.349806;1.30594;1.41824;1.29102;0.349806;0.595453;0.30644;0.446918
0.359728;35.4744;40.3286;36.986;0.359728;14.9611;16.0688;15.1346;0.359728;7.18811;8.11651;6.46236;0.359728;1.25845;1.38019;1.23117;0.359728;0.574472;0.307299;0.434519
0.369728;33.3287;37.9731;34.6686;0.369728;13.9616;14.9906;14.1647;0.369728;6.80568;7.70882;6.06325;0.369728;1.209;1.3501;1.17672;0.369728;0.556972;0.306917;0.427748
0.379728;31.264;35.7129;32.4751;0.379728;13.0165;13.9835;13.2435;0.379728;6.45473;7.31447;5.68702;0.379728;1.15908;1.27714;1.12141;0.379728;0.541808;0.305534;0.421216
0.389729;29.2994;33.5957;30.3961;0.389729;12.1348;13.0523;12.3823;0.389729;6.13048;6.95923;5.33845;0.389729;1.12074;1.22998;1.07835;0.389729;0.469806;0.297619;0.420023
0.399728;27.4158;31.5167;28.4172;0.399728;11.3023;12.1525;11.5664;0.399728;5.82149;6.61685;5.01801;0.399728;1.08035;1.18931;1.03;0.399728;0.461604;0.285793;0.431504
0.409728;25.6527;29.5998;26.5575;0.409728;10.5174;11.3075;10.7921;0.409728;5.53634;6.3236;4.72238;0.409728;1.05269;1.15121;0.991611;0.409728;0.444438;0.283266;0.439956
0.419728;23.9838;27.7878;24.7932;0.419728;9.78545;10.525;10.0768;0.419728;5.26931;6.10616;4.44057;0.419728;1.02981;1.08951;0.951413;0.419728;0.433518;0.278593;0.444819
0.429729;22.3907;26.0616;23.1465;0.429729;9.09403;9.78307;9.39492;0.429729;5.01706;5.91733;4.17639;0.429729;1.01121;1.0258;0.916508;0.429729;0.430371;0.282503;0.41578
0.439729;20.8886;24.4499;21.5891;0.439729;8.43934;9.09117;8.755;0.439729;4.78293;5.73423;3.93082;0.439729;0.993804;0.99018;0.881079;0.439729;0.418259;0.28937;0.424029
0.449728;19.4805;22.9791;20.1238;0.449728;7.8266;8.44077;8.14608;0.449728;4.56311;5.56161;3.69765;0.449728;0.973205;0.960616;0.847844;0.449728;0.398661;0.297047;0.433804
0.459728;18.1549;21.5877;18.7309;0.459728;7.24438;7.82326;7.57435;0.459728;4.36808;5.3909;3.47497;0.459728;0.953797;0.931529;0.817898;0.459728;0.404717;0.304104;0.444247
