H:B 1:1;SPE 1;SPE 2;SPE 3;H:B 1:2;SPE 1;SPE 2;SPE3;H:B 2:1;SPE 1;SPE 2;SPE 3;H:B 1:3;SPE 1;SPE 2;SPE3;H:B 3:1;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
-0.0899611;21.4815;24.2472;45.4664;-0.0899611;31.5428;40.1735;42.7961;-0.0899611;41.604;48.089;40.1258;-0.0899611;44.179;44.5127;58.7702;-0.0899611;55.1462;53.0958;49.2811
-0.0799608;20.6232;22.6259;42.4147;-0.0799608;29.397;36.4065;38.743;-0.0799608;39.3629;45.4187;38.6;-0.0799608;40.0305;43.1299;55.5277;-0.0799608;53.3342;52.5236;48.6612
-0.0699615;20.0987;21.7199;40.3643;-0.0699615;27.9665;33.4024;35.4052;-0.0699615;38.1708;43.7975;37.9324;-0.0699615;37.2171;42.5577;53.2866;-0.0699615;52.4759;52.9051;48.9473
-0.0600395;19.9556;21.1477;38.9338;-0.0600395;27.0128;31.0183;32.6872;-0.0600395;37.694;42.7008;37.694;-0.0600395;35.1667;42.3193;51.8084;-0.0600395;52.0468;53.7157;49.7103
-0.0500393;20.0058;20.8927;38.1114;-0.0500393;26.5814;28.9799;30.4914;-0.0500393;37.687;42.2551;37.9731;-0.0500393;33.7388;42.4077;50.8668;-0.0500393;52.0303;54.8198;50.7524
-0.0400391;20.3205;20.9833;37.7966;-0.0400391;26.61;27.4635;29.0514;-0.0400391;38.283;42.3027;38.7122;-0.0400391;33.014;42.7653;50.4663;-0.0400391;52.3498;56.1549;52.0207
-0.0300388;20.9261;21.4029;38.0398;-0.0300388;27.1059;26.405;28.093;-0.0300388;39.4989;42.8273;39.909;-0.0300388;32.89;43.4758;50.5998;-0.0300388;53.1318;57.8191;53.5991
-0.0200396;21.7939;22.1087;38.674;-0.0200396;28.174;25.6659;27.7163;-0.0200396;41.1297;43.7619;41.454;-0.0200396;33.2095;44.42;51.1958;-0.0200396;54.2428;59.6406;55.4063
-0.0100393;22.986;23.1339;39.5991;-0.0100393;29.6522;25.4322;27.8784;-0.0100393;43.2135;45.14;43.409;-0.0100393;34.0058;45.655;52.4117;-0.0100393;55.783;61.8198;57.4853
-0.0000391006;24.3982;24.4282;40.7757;-0.0000391006;31.4468;25.6642;28.4842;-0.0000391006;45.6251;46.7457;45.752;-0.0000391006;35.2267;47.0642;54.0378;-0.0000391006;57.7142;64.2183;59.7026
0.00996113;26.0128;26.038;42.1733;0.00996113;33.604;26.3318;29.6158;0.00996113;48.6493;48.5887;48.5505;0.00996113;36.9634;48.6984;55.6781;0.00996113;59.922;66.8552;62.1011
0.0199614;27.7175;27.9497;43.7579;0.0199614;36.0736;27.3512;31.3419;0.0199614;52.2117;50.6796;51.855;0.0199614;39.2713;50.5762;57.1468;0.0199614;61.8961;69.5637;64.6713
