2 mM;SPE 1;SPE 2;SPE 3;1 mM;SPE 1;SPE 2;SPE3;0.5 mM;SPE 1;SPE 2;SPE 3;0.1 mM;SPE 1;SPE 2;SPE3;0.01 mM;SPE 1;SPE 2;SPE 3
V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA;V;µA;µA;µA
-0.0899611;11.1818;9.84669;9.70364;-0.0899611;7.03335;7.7486;10.0374;-0.0899611;5.88894;4.69685;5.07832;-0.0899611;1.83582;1.78814;1.50204;-0.0899611;0.309944;0.309944;0.26226
-0.0799608;9.56059;8.60691;8.70228;-0.0799608;6.50883;6.98566;8.9407;-0.0799608;4.79221;4.45843;4.88758;-0.0799608;1.97887;1.83582;1.5974;-0.0799608;0.357628;0.309944;0.26226
-0.0699615;8.36849;7.70092;7.89165;-0.0699615;6.12736;6.50883;8.13007;-0.0699615;4.22001;4.41074;4.8399;-0.0699615;2.12193;1.97887;1.74046;-0.0699615;0.357628;0.309944;0.309944
-0.0600395;7.4625;7.03335;7.36713;-0.0600395;5.88894;6.17504;7.51019;-0.0600395;3.88622;4.31538;4.88758;-0.0600395;2.31266;2.07424;1.83582;-0.0600395;0.357628;0.318289;0.309944
-0.0500393;6.8069;6.54464;6.96902;-0.0500393;5.66244;5.98669;7.10731;-0.0500393;3.75509;4.37498;4.93765;-0.0500393;2.41995;2.20537;1.97172;-0.0500393;0.379086;0.321865;0.30756
-0.0400391;6.40159;6.23941;6.74491;-0.0400391;5.50985;5.86271;6.8212;-0.0400391;3.77893;4.42743;5.01394;-0.0400391;2.57254;2.34842;2.11954;-0.0400391;0.393391;0.331402;0.302792
-0.0300388;6.18696;6.07252;6.63047;-0.0300388;5.39064;5.78165;6.60663;-0.0300388;3.86;4.47512;5.09024;-0.0300388;2.71082;2.49147;2.26736;-0.0300388;0.402927;0.345707;0.30756
-0.0200396;6.13928;6.02484;6.61139;-0.0200396;5.31912;5.7435;6.45881;-0.0200396;3.97921;4.52757;5.1713;-0.0200396;2.85387;2.64883;2.41995;-0.0200396;0.417233;0.360012;0.317097
-0.0100393;6.25854;6.10113;6.68292;-0.0100393;5.28574;5.73397;6.36821;-0.0100393;4.10795;4.56572;5.24282;-0.0100393;2.97785;2.80619;2.56777;-0.0100393;0.426769;0.369549;0.321865
